Scheme Name	Net Asset Value
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0852
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	17.1706
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.6613
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	11.8980
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0984
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	38.6877
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	54.1876
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	37.1100
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	51.9608
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	16.6468
