Scheme Name	Net Asset Value
HSBC Banking and PSU Debt Fund - Regular Growth	21.3068
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6809
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3229
	
	
	
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	29.6940
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.6245
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	28.6486
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.7014
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
	
	
	
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)	1008.7416
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	2098.3134
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment)	1029.6167
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1009.3763
Invesco India Banking & PSU Debt Fund - Growth Option	1970.1967
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment)	1029.4032
	
	
	
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	11.6386
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	11.6386
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	11.4500
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	11.4500
	
	
	
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	56.999
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	10.7088
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	58.9942
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2467
	
	
	
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW	13.1485
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth	32.4962
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW	12.2385
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW	10.054
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW	10.8768
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth	30.3913
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW	11.3743
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW	10.0495
	
	
	
Mirae Asset Banking and PSU Debt Fund Direct Growth	11.5012
Mirae Asset Banking and PSU Debt Fund Direct IDCW	11.5005
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan	11.3383
Mirae Asset Banking and PSU Debt Fund Regular IDCW	11.3392
	
	
	
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	18.6714
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	18.6712
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	18.1130
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	18.6712
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.6587
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	10.6614
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.2745
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	18.1130
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.5933
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.6107
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2744
	
	
	
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1267.2194
SBI BANKING & PSU FUND - Direct Plan - Growth	2876.9527
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1229.5213
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1264.4033
SBI BANKING & PSU FUND - Regular Paln - Growth	2728.1611
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1244.6631
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1167.7670
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1244.3998
	
	
	
Sundaram Banking & PSU Debt Fund - Direct Growth	11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth	11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus	19.0001
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking and PSU Debt Fund Direct Plan - Growth	37.9799
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5422
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus	18.9292
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3547
Sundaram Banking and PSU Debt Fund Regular Plan - Growth	37.5377
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5940
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1100
Sundaram Banking and PSU Debt Fund Retail Plan - Growth	33.8294
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4987
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	11.6582
	
	
	
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option 	12.8199
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.8199
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	12.5647
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.5647
